name,branch,percentile,category,city,year
"Government College of Engineering, Amravati",Civil Engineering,61.4332053,ST (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,76.9213416,VJ,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,58.7429854,NT3 (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,76.2843676,NT1,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,80.7328826,OPEN,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,78.3308876,OBC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,76.2843676,OBC,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,79.8081214,NT2,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,89.690179,TFWS,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,78.067557,EWS,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,75.0737739,SC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,67.3938217,NT1 (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,73.642653,NT2 (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,76.6166542,SC,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,58.7429854,ST,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,83.4053417,OPEN (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,74.1935484,NT3,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,36.1619626,DEF OPEN,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,70.5106049,PWD OPEN,Amravati,2023
"Government College of Engineering, Amravati",Civil Engineering,75.867353,VJ (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,80.6210251,ST (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,95.9541871,VJ,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,93.8260094,NT3,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,97.1523959,OPEN (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,96.8581856,OBC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,94.1664477,DEF OPEN,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,97.0482604,OBC,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,82.4643661,PWD OPEN,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,94.6808113,NT1,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,96.0633178,NT2,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,93.2969235,DEF OBC (Rural),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,97.3642653,OPEN,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,97.3792778,TFWS,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,95.9738402,EWS,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,92.733306,SC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,80.8641005,PWD OBC (Rural),Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,94.0441452,SC,Amravati,2023
"Government College of Engineering, Amravati",Computer Science and Engineering,82.3107244,ST,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,76.2843676,ST (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,90.4575998,VJ,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,93.521357,NT1,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,95.9738402,OPEN,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,95.9541871,OBC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,95.6795422,OBC,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,95.0744473,NT2,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,87.4817577,DEF OBC (Rural),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,96.4414768,TFWS,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,95.0827713,EWS,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,91.4895289,SC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,93.5868331,NT1 (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,95.2175544,NT2 (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,92.4862529,SC,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,81.8534982,ST,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,96.2787373,OPEN (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Information Technology,93.2108027,NT3,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,87.6984872,DEF OPEN,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,70.5106049,PWD OPEN,Amravati,2023
"Government College of Engineering, Amravati",Information Technology,67.711928,PWD SC (Rural),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,29.2444305,ST (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,83.4300164,VJ,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,89.1600241,OPEN (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,58.0840122,NT3 (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,87.0556299,OBC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,54.0043616,DEF OPEN,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,85.4752553,OBC,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,86.3550668,VJ (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,82.251586,NT1,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,79.7807688,NT2,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,87.2113119,OPEN,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,90.1850615,TFWS,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,84.2884307,EWS,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,85.4752553,SC (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,80.7328826,SC,Amravati,2023
"Government College of Engineering, Amravati",Electrical Engineering,54.0043616,ST,Amravati,2023
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,61.6397637,ST (Ladies),Amravati,2023
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,87.3774785,VJ,Amravati,2023
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,92.8593873,NT1,Amravati,2023
